日本語,English,中文,한국語,,タグ説明
開錠に失敗する前の錠前であればこじ開けることも可能,,,,,
確実にカギを開けられるが疲労度が蓄積する,,,,,
宝箱や鍵扉は１日経過でリセットされランダム再配置される,,,,,
日を改めることで\C[6]開錠失敗した扉に再挑戦したり、,,,,,
宝箱稼ぎができる,,,,,
鍵以外のギミック（レバー、踏み込みスイッチ,,,,,
テレポーター、かんぬき等）は、一度起動すればリセットされない,,,,,
街やダンジョン内で行動していると時間が経過し,,,,,
朝、昼、夕、夜と時間が巡る,,,,,
利用できる街の機能や会える人々も時間帯に応じて変化するため、,,,,,
色々な時間帯の街を覗いてみることで新しい出来事に,,,,,
出くわすことができるだろう,,,,,
ダンジョン内では夜になるとモンスターが活発化し,,,,,
攻撃がより激しくなる,,,,,
夜間探索は非常に危険だが、珍しいアイテムが採取できたり,,,,,
夜しか開かない道があったりと収穫も多い,,,,,
\C[1]SP\C[0]とはスキルの発動に必要なパワーだ,,,,,
戦闘中、通常攻撃や被ダメージ、回復行動等で自然に溜まり,,,,,
戦闘が終了すると初期値にリセットされる,,,,,
\C[1]SP\C[0]の初期値は現在の疲労度に応じて戦闘開始時に決まる,,,,,
例）疲労0%→\C[1]SP50\C[0]で戦闘開始,,,,,
疲労度50%→\C[1]SP25\C[0]で戦闘開始,,,,,
疲労が蓄積してくると開幕から強力なスキルを使えなくなる,,,,,
同じ敵でも疲労度によっては脅威になるので注意が必要だ,,,,,
\C[6]性欲ゲージ,,,,,
\C[6]貞操観念,,,,,
善悪観念,,,,,
\C[6]NPCとの交流コマンド,,,,,
\i[13]性欲ゲージは\n[1]の性欲の溜まり具合を表している。,,,,,
性欲は時間経過や、エッチなイベント中に溜まっていく。,,,,,
エッチイベント中に性欲がMAXに達することで,,,,,
\N[1]が絶頂し、溜まったゲージが経験値に昇華される,,,,,
また、性欲の溜まり具合は貞操観念にも影響を及ぼす。,,,,,
ムラムラが溜まってる状態だと貞操観念が緩まり,,,,,
エッチな選択肢のハードルが下がる。,,,,,
敵の中には組み付いて\c[27]エッチなグラップ攻撃\c[0]を行うものもおり、,,,,,
性欲が溜まっていると\c[27]グラップ攻撃\c[0]を許してしまう確率が高まる,,,,,
"貞操を守り抜きたいのであれば、宿で\RB[自慰,オナニー]することで解消し",,,,,
敵からのグラップ攻撃を未然に防ぐことができる,,,,,
貞操観念は\N[1]の性に対する解放度を示すパラメーターだ。,,,,,
過激な行動や選択肢は一定以上の淫乱値に傾いた貞操観でないと,,,,,
\N[1]が拒絶反応を示し選択することができない,,,,,
貞操観念は選んだ選択肢や行動によって少しづつ変化していく他、,,,,,
性欲の溜まり具合や、酒酔い等の状態異常にも影響を受け、,,,,,
その時々で変動する。,,,,,
善悪観念は\N[1]の倫理観を示すパラメーターだ,,,,,
悪事を働けば混沌に傾き、善行を行えば秩序に傾く,,,,,
名声はアトラの街での評判を示している,,,,,
仕事をこなしたり誉ある行動を示したときに高まり、,,,,,
道を外れたことをした際に低下する,,,,,
目先の利益に目がくらみ悪行を重ね、悪名がとどろくと,,,,,
施設料金が高くなったり、衛兵からの扱いが酷くなったり,,,,,
鼻つまみ者として相応の扱いを受けるだろう,,,,,
頭上に吹き出しの出ているNPCに対しては,,,,,
１日１回まで交流コマンドを実行できる,,,,,
\N[1]の能力（交渉能力・性的魅力・対人戦力）が,,,,,
相手の抵抗力を超えていたらコマンドは100%成功し、,,,,,
下回っている場合数値が離れる程成功率が下がっていく,,,,,
\C[2]「交渉」コマンド\C[0],,,,,
相手の職業・立場に応じた何らかの協力を得る,,,,,
\C[27]「花売」コマンド\C[0],,,,,
アマリリスの花を売りつける,,,,,
好色家相手にはそれだけでは済まない可能性も……,,,,,
\C[18]「略奪」コマンド\C[0],,,,,
金品を脅しとったり、力づくで協力させる,,,,,
\C[5]「贈答」コマンド\C[0],,,,,
持ち物をプレゼントすることができる,,,,,
好物をあげて好感度を上げたり、,,,,,
特定のものを渡すことでイベントが分岐する,,,,,
\C[5]「贈答」\C[0]は、交渉・花売・略奪とは別に,,,,,
1日1回行うことができる,,,,,
理性値,,,,,
空腹と尿意,,,,,
野営,,,,,
行き詰ったときは…,,,,,
\N[1]は耐えがたいストレスに晒されたり,,,,,
死亡からの蘇生等の人智を超えた体験をすると\C[6]理性値\C[0]が減少する,,,,,
理性値の低下とともに徐々に疲労が蓄積しやすくなったり,,,,,
回復薬の効き目が薄くなったりし、最終的には発狂状態に陥る,,,,,
理性値は生者として健全な営みを行うことで回復する,,,,,
【例】食事、睡眠、繁殖行動など,,,,,
アイテム欄の各種食物を食べることで回復効果やバフが得られる,,,,,
満腹度が限界に達するとそれ以上食べてもバフは得られない,,,,,
満腹度は眠ることでリセットされる,,,,,
戦闘をこなすことでも僅かに減少していく,,,,,
飲料を飲むと尿意が溜まる,,,,,
尿意は宿に泊まったりトイレを利用することでリセットされる,,,,,
ダンジョン内に点在する野営ポイントでは,,,,,
乾いた薪を消費することで、疲労が癒えHPとMPが全回復する,,,,,
一度街に戻り宿で休息しないと次のキャンプは行えない,,,,,
ダンジョンの次の層へ至る道は複数存在する,,,,,
現在進んでいるルートで行き詰ったら、,,,,,
一つの方法にこだわらず視点を変えてみることも大事だろう,,,,,
\C[6]レベル成長とエーテル,,,,,
体力,,,,,
筋力,,,,,
技術,,,,,
知性,,,,,
話術,,,,,
"\RB[経験値,エーテル]とは人の新たな知覚と可能性を開く生命の源だ",,,,,
\C[6]街の寺院にある女神像に捧げることで能力の強化ができる,,,,,
\i[12]アイコンはエーテル量を表している,,,,,
エーテルは魔物を倒したり、ダンジョン内で回収したり,,,,,
性行為でエクスタシーに達することで得ることができる,,,,,
体力を強化することで主に最大HPが大きく上昇し、,,,,,
気力（技ゲージ）の初期値アップする,,,,,
また疲労の蓄積が若干だが軽減されるようになるため,,,,,
ダンジョン内での活動をメインに行う場合には役立つだろう,,,,,
筋力を強化することで主に強力な重装備が装備可能になる,,,,,
筋肉と鋼の鎧を身にまとえば肉弾戦で無類の強さを誇るだろう,,,,,
また筋力で補正のかかる武器ならば,,,,,
より高い威力で使いこなすこともできる,,,,,
NPCインタラクトにおいては対人戦術値が非常に大きく上がるため,,,,,
鍛え上げた肉体は交渉においても強力な切り札になるだろう,,,,,
技術を強化することで宝箱や扉の鍵の開錠率を上げ、,,,,,
トラップの回避率を高めることができる,,,,,
通常は進むことが困難なルートを拓くことができ、,,,,,
往々にしてそういった未踏の場所には貴重な宝があるものだ,,,,,
もしトレジャーハントを生業としたいなら鍛えるといいだろう,,,,,
技術は肉弾戦において無駄というわけではない,,,,,
技術ステータスによる補正で威力が向上する武器も存在する,,,,,
知性を強化することで最大MPが大きく向上し、,,,,,
魔術、祈りの威力が上昇する,,,,,
また魔術や祈りは高度なものになればなるほど,,,,,
習得に高い知性を必要とするため高位の術者を目指すのであれば,,,,,
研さんを怠ってはならない,,,,,
NPCインタラクトにおいては若干だが交渉能力に寄与する,,,,,
やはり道理だけでは人は説き伏せられないということだろうか,,,,,
話術を強化すると街の仕事でより多くの報酬を貰えるようになり,,,,,
店の商品の価格が安くなる,,,,,
財力をもって貴重な消耗品も使うことができるようになるので,,,,,
異なる切り口からダンジョンの攻略を進めることができるだろう,,,,,
NPCインタラクトにおいては交渉能力が大きく向上する,,,,,
スマートな立ち回りができるだろう,,,,,

CE40:メニュー画面コマンド,,,,,
今は装備変更できない,,,,,

CE41:復活[共通処理],,,,,
ー探索の失敗ー,,,,,
探索の途中で力尽きると所持金から救助費を差し引かれ、,,,,,
死を体験をすることで\c[2]理性値\c[0]が大きく減少してしまう,,,,,
\c[2]理性\c[0]が失われると生者からかけ離れた存在となり、,,,,,
回復薬の効き目が薄くなったり疲労しやすくなる,,,,,
失われた\c[2]理性\c[0]は食事、入浴、性交等の,,,,,
生者としての健全な営みを行うことで少しずつ回復していく,,,,,

CE66:夜露の媚薬ニセ,,,,,
(んっ……）,,,,,
(体が……熱い…！）,,,,,

CE67:[共通]罠の選定と発動,,,,,
やーい、まぬけ,,,,,
ざんねんでした、ぷ～,,,,,
つまらないものですが,,,,,
ヤリマン募集中！,,,,,
でかした！ほうびをやろう！,,,,,
おたからはいただいた！,,,,,
ほげっ……！！！,,,,,
ふごふごっ！（しまった！）,,,,,
ふごぅ…ふごごごーーー！（は、離しなさい！！）,,,,,
うご…おえぇぇ……！（うっ、喉奥に……管がどんどん入って…）,,,,,
おげぇぇぇ…！！,,,,,
（何か……ドロドロしたものが……どんどん流れ込んでくる！）,,,,,
（く……くるし……）,,,,,
（や、やっととまりました…）,,,,,

CE71:コイン当てlv1,,,,,
左のカップ,,,,,
真ん中のカップ,,,,,
右のカップ,,,,,
おっと残念！,,,,,
まぁこういうこともあるさ、気を持ち直して次次,,,,,
すごいじゃないか！おめでとう！,,,,,
君、博打の才能あるんじゃないかぁ？,,,,,
うわぁ！すごい！これはおじさん、大赤字だよ,,,,,
やるねぇ！さすが！さぁ次行こうか,,,,,
大正解！すごいね！君！,,,,,
まるでプロのギャンブラーだ！,,,,,
うわぁ！大当たりだ！これは僕に勝ち目はないかもしれないな…,,,,,

CE72:コイン当てlv2,,,,,
あららぁ～残念！俺の勝ちだな,,,,,
素晴らしい！これを見切れるとは…,,,,,
100年に一人の逸材だよ！,,,,,
ちょっと難しかったかな？,,,,,
まぁ、こういうこともあるさ、気を落とさないで,,,,,
これは驚いた！僕になんかもう勝ち目はないなぁ,,,,,
うわぁ！僕の負けだぁ！,,,,,
こりゃ今日も大負けだなぁ,,,,,
すごいじゃないか！これを当ててしまうなんて,,,,,
僕に勝ち目はもうないな…,,,,,

CE73:エロ秘策コイン当て,,,,,
(くっ…手がすべったか！）,,,,,
(ば、馬鹿な…こんな小娘相手に！）,,,,,
(な、何ぃ…揺さぶってきただと…！）,,,,,

CE76:鍵扉[共通処理],,,,,
開錠を試みる [\i[93]成功率 \v[75]%],,,,,
こじ開ける 　[\i[14]疲労＋ \v[55]%],,,,,
en(v[106]>0)ピックツール [×\v[106]],,,,,

CE83:野球拳コイン当て,,,,,
おやおや、残念だったねぇ,,,,,
\c[27]男は勝ち誇った笑みを浮かべた,,,,,
フフフ…こういうこともあるさぁ…次行こうか,,,,,
\c[27]男はねちっこい声でささやいた,,,,,
おっとぉ、これは私の勝ち、ということだね,,,,,
\c[27]男は一瞬、ほくそ笑んだ,,,,,

CE84:投げ銭計算,,,,,
（くっ…！誰ですか！こんなもの投げ入れたの\I[16]）,,,,,

CE95:【誘惑-男用】(セリフ処理),,,,,
アマリリスの花はいかがですか？,,,,,
………”お花”は、いかがですか？,,,,,
他の”お花”もありますよ？…フフ,,,,,
今なら”特別なサービス”もお付けしますよ？,,,,,
言っておきますが……ゴムはつけてくださいね？,,,,,

CE96:ステータス能力ランク付け査定,,,,,
\C[16]F　\C[23]E  \C[26]D  \C[31]C　\C[18]B　\C[2]A  \C[17]S,,,,,

CE99:【略奪】開始セリフ群,,,,,
手荒な真似はしたくない…大人しくしてて下さい,,,,,
悪あがきはやめて……私に従いなさい,,,,,
ここでは力が正義……降伏しなさい,,,,,

CE100:【贈答】開始セリフ群,,,,,
これ、余ってるからあげます,,,,,
はい、私からの気持ちです,,,,,
どうぞ受け取ってください,,,,,
これあげます、私には必要ないので,,,,,
カバンがいっぱいなので受け取ってください,,,,,
これ、必要じゃないかなと思って,,,,,

CE101:【交渉】開始セリフ群,,,,,
協力者を募っているのですが…,,,,,
力を貸して頂けませんか,,,,,
ギブアンドテイクといきましょう,,,,,

CE103:【贈答】共通処理,,,,,
\C[6]ーチュートリアル・贈答ー,,,,,
何かを必要としている相手には、,,,,,
贈答インタラクトが可能になり、,,,,,
お返しに何らかのアイテムを貰うことができる,,,,,
欲してる物をプレゼントすることができれば、,,,,,
\c[6]貴重なアイテム\c[0]のお返しをしてくれる,,,,,
また、交渉インタラクト可能な相手の場合は,,,,,
\C[1]信頼度\C[0]が上がり、\C[2]警戒心\C[0]を下げることが可能,,,,,
相手の気に入ったモノであればより効果は高まる,,,,,
さらに相手との\C[1]信頼度\C[0]によって,,,,,
物語の結末に変化が起こる場合がある,,,,,

CE160:オットーの薬瓶,,,,,
これは、オットーさんから,,,,,
エイミーという少女に渡すよう預かった,,,,,
\C[6]姿消し薬\C[0]ですが……,,,,,
封を締める,,,,,
飲み干す,,,,,
うっ……！,,,,,

CE161:スライム小瓶系,,,,,
瓶の中にはぼんやり発光する青い粘液が入っている……,,,,,
肌に塗る,,,,,
飲んでみる,,,,,
やめておく,,,,,

CE227:メニュー設定,,,,,
ロード,,,,,
ヘルプ,,,,,
オプション,,,,,
タイトルへ戻る,,,,,

CE234:メニュー設定2,,,,,
メモ,,,,,
仕事,,,,,
作戦行動,,,,,
オールラウンド,,,,,
節約術,,,,,
電撃戦,,,,,
警戒態勢,,,,,
フルオート,,,,,
作戦行動を\C[6]【オールラウンド】\C[0]に設定しました,,,,,
作戦行動を\C[6]【節約術】\C[0]に設定しました,,,,,
作戦行動を\C[6]【電撃戦】\C[0]に設定しました,,,,,
作戦行動を\C[6]【警戒態勢】\C[0]に設定しました,,,,,
作戦行動を\C[6]【フルオート】\C[0]に設定しました,,,,,

CE236:携帯食,,,,,
ウッ……ヴォエェェ…！！！,,,,,

CE240:,,,,,
うっ…痛ったー……,,,,,
脚が急にもつれて……,,,,,
さっきの光は一体……？,,,,,
あ……あれ……？,,,,,
なんでしょう…？この右足の変色は…,,,,,
土ホコリ…？泥？にしてはやけに色が濃いような……,,,,,
いや……違う……これは……,,,,,
"あ…明らかに……\C[18]浸食""\C[0]してるッ……！""",,,,,
石化した皮膚がじわじわと！広がってきているっ！！！,,,,,
脚の先っぽから……太ももの付け根まで……あっという間に！,,,,,
し…しかも皮膚だけじゃない……！,,,,,
筋肉まで……まるで石のように動かせなくなっていってる！,,,,,
こ、これ……石化が心臓や脳にまで達したら……,,,,,
ま、まさか……死……？,,,,,
こ、こんなところで……やだ……,,,,,
ま……まだ、はじまったばっかりなのにっ……！,,,,,
ど、どうしよう……！そ、そうだ…！だ、誰か……,,,,,
誰がいませんかぁーーー！助けてくださーい！,,,,,
やだやだやだーーー！やだぁぁぁぁ！,,,,,
石像なんかになりたくない！！死にたくない―――！！！,,,,,
あっ……がっ………舌が石に……動かなく……なって,,,,,
い……きが……でき……な………,,,,,
……肺が……動かない………,,,,,
だ…………れか………,,,,,
死…………に………………た………く,,,,,
………………………………,,,,,
…………………,,,,,
微かに聞こえていた呼吸音すらなくなり,,,,,
あたりは静寂に包まれた…,,,,,
\N[1]の石化は脳まで達し物言わぬ石像となった………,,,,,

CE255:石化トラップ実行,,,,,
うっ……！痛っ…！,,,,,
"あ…明らかに……\C[18]浸食""\C[0]してますよーー！！""",,,,,
やだ……！やだぁぁぁぁ！,,,,,
"if(!s[240])体を揺する [\c[6]解呪10％\c[0], \c[2]亀裂75％\c[0], \c[18]崩壊25％\c[0]]",,,,,
"if(!s[240])天に委ねる [\c[6]解呪??％\c[0], \c[27]？？\v[342]%\c[0], \c[18]崩壊\v[341]％\c[0]]",,,,,
"if(s[240])天に委ねる [\c[7]解呪0％\c[0], \c[27]？？\v[343]%\c[0], \c[18]風化\v[341]％\c[0]]",,,,,
if(s[240])探索を諦める [\c[18]風化100％\c[0]],,,,,
カハッ……！助かっ……た……？,,,,,
…………,,,,,

CE294:情報メモ,,,,,
ガラド城中庭にある休憩所には、秘密の通路が隠されている,,,,,
壁にある獅子頭の石像を調べてみろ,,,,,
ガラド城東書庫には石化の秘術を操る妖艶な魔女が潜んでいる,,,,,

CE321:奴隷権利書,,,,,
ヒッヒッヒ、おめでとうございます,,,,,
貴方はこれで晴れて自由の身でございます,,,,,

CE336:レベルエーテル還元,,,,,
LV\v[69]分の\i[12]\v[725]エーテルが還元された,,,,,

CE340:アルとの同衾,,,,,
……すぴー……,,,,,
うーん……,,,,,
うっ…寒……………ん……？,,,,,
あ……,,,,,
はだけた寝巻をなおす,,,,,
\C[27]放っておく,,,,,
いけない…つい一人の時の癖で脱いでしまう…,,,,,
こんなはしたない姿、見られたら幻滅されてしまいますね,,,,,
（まぁ大丈夫でしょう……,,,,,
べ、別にやましいことは何もないですし…？）,,,,,
んっ…………………マシュマロ……,,,,,
こら、これはマシュマロじゃ…,,,,,
んっ…………………お肉……,,,,,
こら、これは……お肉だけど……お肉じゃないですよ…,,,,,
んっ…………………おっぱい……,,,,,
こらこら、おっぱいなんて年じゃないでしょ…,,,,,
\C[27]アルの唇が\v[474]の無防備な乳首に吸いついた,,,,,
んっ…\I[15],,,,,
\C[27]思わずアルを抱きしめる腕に力が入る…,,,,,
\C[27]性感帯への刺激は\v[474]の脳へ到達する前に、,,,,,
脊髄反射で艶のある声を出させた,,,,,
（し、しまっ…！反射的に…変な声が…！）,,,,,
\C[27]寒気でビンビンに勃起した\v[474]のぷっくり乳頭が,,,,,
暖かく湿ったアルの口内にすっぽり包まれる,,,,,
いったどういうつも……ひんっ…\I[15],,,,,
んむっ…………………マシュマロ……しゅきぃ,,,,,
夢でも見ているんですか……アルっ…,,,,,
あなたが吸いついてるのはマシュマロではなく……っ…,,,,,
私の…乳房……,,,,,
んむっ…………………お肉……しゅきぃ,,,,,
寝ぼけてるんですか……アルっ…,,,,,
お肉は晩に食べたでしょ……,,,,,
あなたが吸いついてるのはお肉ではなく……っ…,,,,,
私の…乳房だからっ……,,,,,
んむっ…………………おっぱい……しゅきぃ,,,,,
こ、こら……アルっ…………いい加減に………,,,,,
はうっ………んっ\I[15],,,,,
（熱くてやわらかいぬるぬるが乳首の上を這いまわって……）,,,,,
"（これは…まるで……恋人同士がやるアレ""じゃないですか………）""",,,,,
\C[27]アルは\v[474]の乳首を入念に舌先で転がし,,,,,
時折やさしく甘噛みする,,,,,
\C[27]そのたびに\v[474]の体はピクンと跳ね、,,,,,
小さく甘い吐息が漏れ出す…,,,,,
あっ……だ、ダメ……,,,,,
マシュマロ…噛んじゃダメです……,,,,,
んっ………\I[15],,,,,
ほ、本当に寝てるんですか……？,,,,,
こ、こんなエッチなお肉の食べ方、しないでしょ……？,,,,,
\C[27]アルは\v[474]の乳首を入念に舌先で転がし、,,,,,
時折やさしく吸引する,,,,,
んっ……そんなに吸いつかれても……,,,,,
"\RB[母乳,おっぱい]は……出ませんっ……からっ…",,,,,
あっ……はぁっあっ\I[15],,,,,
（よく考えたらこの子も男の子……）,,,,,
（私、今……男とベッドの上で……裸で抱き合いながら,,,,,
